Unnamed: 0,Date,Location,Country,Category,Discipline,Date Formated,Temp Min,Temp Avg,Temp Max,Wind Speed
340,2023-03-12,Ortisei,ITA,FIS,Giant Slalom,2023-03-12,2.0,11.4,18.2,6.7
344,2023-03-15,Rogla,SLO,WC,Parallel Giant Slalom,2023-03-15,5.0,6.1,11.4,18.8
348,2023-03-18,Berchtesgaden,GER,WC,Parallel Slalom,2023-03-18,5.0,10.2,16.2,9.0
353,2023-03-18,Ratschings,ITA,EC,Parallel Slalom,2023-03-18,-2.4,4.6,16.2,5.0
357,2023-03-19,Ratschings,ITA,EC,Parallel Slalom,2023-03-19,-0.6,5.1,12.4,6.7
359,2023-03-21,Kopaonik,SRB,FIS,Slalom,2023-03-21,4.8,7.9,10.7,4.8
363,2023-03-21,Kopaonik,SRB,CHI,Slalom,2023-03-21,4.8,7.9,10.7,4.8
371,2023-03-22,Kopaonik,SRB,NC,Giant Slalom,2023-03-22,4.5,9.1,14.6,8.7
373,2023-03-22,Kopaonik,SRB,CHI,Giant Slalom,2023-03-22,4.5,9.1,14.6,8.7
377,2023-03-23,Kopaonik,SRB,NC,Slalom,2023-03-23,1.0,9.6,17.9,3.5
379,2023-03-23,Kopaonik,SRB,CHI,Slalom,2023-03-23,1.0,9.6,17.9,3.5
385,2023-03-24,Bansko,BUL,WJC,Parallel Giant Slalom,2023-03-24,3.3,12.9,22.3,7.9
389,2023-03-25,Bansko,BUL,WJC,Parallel Slalom,2023-03-25,4.4,13.6,20.9,6.3
392,2023-03-24,Kopaonik,SRB,FIS,Giant Slalom,2023-03-24,3.3,12.1,21.1,4.5
396,2023-03-24,Kopaonik,SRB,CHI,Giant Slalom,2023-03-24,3.3,12.1,21.1,4.5
404,2023-03-25,Villach,,FIS,Parallel Slalom,2023-03-25,-0.5,1.4,3.6,6.0
406,2023-03-26,Villach,,FIS,Parallel Slalom,2023-03-26,-2.7,1.5,4.2,6.8
408,2023-03-27,Bansko,BUL,NC,Parallel Giant Slalom,2023-03-27,5.8,11.3,15.7,19.7
410,2023-03-28,Bansko,BUL,NC,Parallel Slalom,2023-03-28,1.9,5.0,7.9,28.8
412,2023-03-30,Cortina,Ampezz,NC,Parallel Slalom,2023-03-30,0.4,6.4,13.2,6.6
414,2023-03-31,Cortina,Ampezz,NC,Parallel Giant Slalom,2023-03-31,1.2,4.7,7.7,10.1
416,2023-04-01,Haus,,NC,Parallel Giant Slalom,2023-04-01,9.4,11.9,16.6,21.9
418,2023-04-02,Haus,,NC,Parallel Slalom,2023-04-02,6.0,8.4,11.5,19.3
420,2023-04-01,Pizol,SUI,NC,Parallel Giant Slalom,2023-04-01,2.7,4.4,7.0,4.7
424,2023-04-02,Pizol,SUI,NC,Parallel Slalom,2023-04-02,2.1,4.4,7.5,4.6
430,2023-04-03,Copper,ountai,NC,Parallel Giant Slalom,2023-04-03,19.0,21.8,25.0,5.3
432,2023-04-04,Copper,ountai,NC,Parallel Slalom,2023-04-04,19.0,22.0,25.5,5.1
442,2023-04-10,Krvavec,SLO,NC,Parallel Giant Slalom,2023-04-10,2.9,7.1,13.4,5.6
443,2023-04-10,Krvavec,SLO,NC,Slalom,2023-04-10,2.9,7.1,13.4,5.6
446,2023-04-10,Krvavec,SLO,NJC,Parallel Giant Slalom,2023-04-10,2.9,7.1,13.4,5.6
447,2023-04-10,Krvavec,SLO,NJC,Slalom,2023-04-10,2.9,7.1,13.4,5.6
450,2023-04-10,Krvavec,SLO,CHI,Parallel Giant Slalom,2023-04-10,2.9,7.1,13.4,5.6
451,2023-04-10,Krvavec,SLO,CHI,Slalom,2023-04-10,2.9,7.1,13.4,5.6
